home_club_id,away_club_id,time,division,date,day
999,455,00:00,4B,03/09/2022,1
999,445,00:00,4B,03/09/2022,1
522,412,1-1,4B,03/09/2022,1
345,497,4-2,4B,03/09/2022,1
306,359,3-0,4B,03/09/2022,1
628,039,1-1,4B,03/09/2022,1
606,067,1-4,4B,03/09/2022,1
999,092,00:00,4D,03/09/2022,1
493,574,0-1,4D,03/09/2022,1
641,649,1-4,4D,03/09/2022,1
214,070,4-2,4D,03/09/2022,1
644,181,2-0,4D,03/09/2022,1
569,016,0-0,4D,03/09/2022,1
601,152,1-0,4D,03/09/2022,1
999,359,00:00,4C,03/09/2022,1
263,617,non joué,4C,03/09/2022,1
392,401,3-3,4C,03/09/2022,1
123,130,0-1,4C,03/09/2022,1
514,039,5-0,4C,03/09/2022,1
093,279,3-0,4C,03/09/2022,1
132,646,2-0,4C,03/09/2022,1
999,075,00:00,5A,03/09/2022,1
132,516,2-2,5A,03/09/2022,1
007,152,0-5,5A,03/09/2022,1
459,153,3-0,5A,03/09/2022,1
562,611,5-3,5A,03/09/2022,1
645,109,0-1,5A,03/09/2022,1
653,620,3-0,5A,03/09/2022,1
999,057,00:00,4A,03/09/2022,1
039,022,0-3,4A,03/09/2022,1
574,221,5-0,4A,03/09/2022,1
488,629,1-3,4A,03/09/2022,1
648,503,1-1,4A,03/09/2022,1
056,181,5-2,4A,03/09/2022,1
654,001,5-1,4A,03/09/2022,1
657,663,5-4,5C,03/09/2022,1
656,999,12:30,5C,03/09/2022,1
658,664,1-10,5C,03/09/2022,1
100,063,2-2,5C,03/09/2022,1
662,517,0-3,5C,03/09/2022,1
660,128,3-4,5C,03/09/2022,1
428,303,1-7,5C,03/09/2022,1
109,357,1-5,3A,03/09/2022,1
343,537,5-5,3A,03/09/2022,1
420,605,3-1,3A,03/09/2022,1
556,359,2-3,3A,03/09/2022,1
543,169,1-8,3A,03/09/2022,1
340,181,1-4,3A,03/09/2022,1
268,217,4-0,3A,03/09/2022,1
044,504,0-5,2A,03/09/2022,1
402,630,1-5,2A,03/09/2022,1
132,035,N.C.,2A,03/09/2022,1
024,292,3-2,2A,03/09/2022,1
263,599,4-1,2A,03/09/2022,1
274,541,4-3,2A,03/09/2022,1
109,031,2-1,2A,03/09/2022,1
416,625,2-0,3D,03/09/2022,1
084,235,5-2,3D,03/09/2022,1
634,647,0-5,3D,03/09/2022,1
402,643,2-2,3D,03/09/2022,1
566,637,3-5,3D,03/09/2022,1
624,523,2-1,3D,03/09/2022,1
401,303,4-3,3D,03/09/2022,1
598,611,1-0,3C,03/09/2022,1
343,627,5-0,3C,03/09/2022,1
603,579,0-3,3C,03/09/2022,1
151,544,1-0,3C,03/09/2022,1
626,221,4-1,3C,03/09/2022,1
562,001,1-3,3C,03/09/2022,1
048,303,0-5,3C,03/09/2022,1
402,600,2-2,3B,03/09/2022,1
622,623,2-2,3B,03/09/2022,1
597,221,1-3,3B,03/09/2022,1
268,090,2-1,3B,03/09/2022,1
582,359,1-1,3B,03/09/2022,1
499,049,4-1,3B,03/09/2022,1
053,602,1-0,3B,03/09/2022,1
151,455,1-2,6D,03/09/2022,1
132,412,3-0,6D,03/09/2022,1
416,181,0-5,6D,03/09/2022,1
044,303,2-2,6D,03/09/2022,1
093,084,0-5,6D,03/09/2022,1
002,347,5-1,6D,03/09/2022,1
402,075,3-2,6D,03/09/2022,1
655,652,0-4,5B,03/09/2022,1
661,572,0-5,5B,03/09/2022,1
659,619,0-2,5B,03/09/2022,1
338,999,14:00,5B,03/09/2022,1
330,514,5-0,5B,03/09/2022,1
417,593,1-0,5B,03/09/2022,1
498,635,0-1,5B,03/09/2022,1
345,001,0-6,2B,03/09/2022,1
109,152,3-2,2B,03/09/2022,1
388,292,1-1,2B,03/09/2022,1
044,589,4-0,2B,03/09/2022,1
002,578,0-0,2B,03/09/2022,1
030,416,3-0,2B,03/09/2022,1
132,137,0-1,2B,03/09/2022,1
423,092,0-1,1,03/09/2022,1
542,249,1-0,1,03/09/2022,1
567,039,1-2,1,03/09/2022,1
402,001,1-2,1,03/09/2022,1
229,517,2-1,1,03/09/2022,1
084,514,1-1,1,03/09/2022,1
403,523,2-2,1,03/09/2022,1
292,152,5-0,6A,03/09/2022,1
038,005,14:00,6A,03/09/2022,1
423,092,5-1,6A,03/09/2022,1
402,033,2-1,6A,03/09/2022,1
376,445,5-1,6A,03/09/2022,1
132,249,1-3,6A,03/09/2022,1
388,517,5-0,6A,03/09/2022,1
