club_id,team_id,game_time,division,artificial_grass,field_id,color
427,1,12:30,6E,True,A08,Jaune et bleu
395,1,14:00,6C,True,A08,Jaune
249,1,15:30,1,True,A11,Noir
249,2,14:00,6A,True,A11,Blanc rayé de Gris
280,1,14:00,6C,True,A09,Mauve
602,1,15:30,3B,True,A03,Bleu ciel
72,1,14:00,6C,True,A11,Bleu
376,1,15:30,6A,True,A11,Jaune
109,1,15:00,2A,True,W12,Bleu ciel
109,2,13:30,2B,True,W12,Bleu ciel
109,3,12:00,3A,True,W12,Bleu ciel
109,4,12:00,5A,True,W12,Bleu ciel
109,5,13:30,6B,True,W12,Bleu ciel
109,6,15:00,6C,True,W12,Bleu ciel
459,1,14:00,5A,True,W15,Bleu clair
648,1,15:00,4A,False,R03,Jaune et noir
493,1,12:30,4D,True,A09,Bleu ciel
24,1,13:30,2A,True,J02,Bleu
70,1,14:30,4D,False,B01,Bleu
137,1,15:30,2B,True,B08,Bleu
601,1,15:30,4D,False,G01,Noir
53,1,15:30,3B,True,W15,Bleu rayé de Blanc
660,1,15:30,5C,False,G04,Rouge
619,1,15:00,5B,False,A10,Bleu Marine
579,1,15:30,3C,True,L09,Bleu
401,1,15:30,3D,True,L01,Blanc
401,2,15:30,4C,False,H04,Orange et bleu
401,3,14:00,6E,True,L01,Bleu
630,1,15:30,2A,True,L01,Bleu
537,1,15:00,3A,False,B11,Jaune et rouge
537,2,15:00,6E,False,B11,Jaune et rouge
603,1,14:00,3C,True,A09,Orange et Mauve
132,1,13:00,2A,False,M02,Bleu
132,2,15:30,2B,False,M02,Bleu
132,3,15:30,4C,False,M02,Bleu
132,4,13:00,5A,False,M02,Bleu
132,5,15:30,6A,False,M02,Bleu
132,6,13:00,6D,False,M02,Bleu
132,7,15:30,6E,False,M02,Bleu
1,1,14:00,1,True,R02,Blanc
1,2,15:30,2B,False,R02,Blanc
1,3,12:30,3C,False,R02,Blanc
1,4,12:30,4A,True,R02,Blanc
1,5,15:30,6B,True,R02,Blanc
1,6,14:00,6C,False,R02,Blanc
1,7,15:30,6E,False,R02,Blanc
39,1,14:00,1,True,O01,Bordeaux
39,2,12:30,4A,True,O01,Bordeaux
39,3,13:30,4B,True,B14,Bordeaux
39,4,15:30,4C,True,L09,Bordeaux
39,5,15:30,6B,True,L09,Bordeaux
39,6,14:00,6C,True,L09,Bordeaux
39,7,15:30,6E,False,L09,Bordeaux
566,1,14:00,3D,True,J01,Vert
467,1,15:30,6C,True,W10,Vert rayé de blanc
330,1,14:00,5B,True,F01,Vert et  blanc
626,1,15:30,3C,True,W07,Vert et blanc
562,1,15:30,3C,True,W10,Bleu et Blanc
562,2,14:00,5A,True,W10,Bordeaux
499,1,15:30,3B,True,G03,Bleu marine
412,1,13:30,4B,True,W02,Blanc et rouge
412,2,15:00,6D,True,W02,Blanc et rouge
84,1,15:00,1,True,W02,Rouge et blanc
84,2,13:30,3D,True,W02,Rouge
84,3,15:00,6D,False,W02,Rouge et noir
128,1,14:00,5C,False,S03,Jaune
128,2,15:30,6E,False,S03,Jaune
303,1,14:00,3C,True,W10,Blanc
303,2,15:30,3D,True,W10,Blanc
303,3,12:30,5C,True,W10,Blanc
303,4,12:30,6D,True,W10,Blanc
517,1,12:30,1,True,A11,Bleu
517,2,12:30,5C,True,W05,Noir
517,3,14:00,6A,True,A11,Blanc
517,4,15:30,6E,False,w19,Blanc
541,1,12:30,2A,True,A11,Noir et bordeaux
229,1,14:00,1,True,W05,Bleu
229,2,15:30,6B,True,W05,Bleu
625,1,12:30,3D,True,K02,Bleu foncé et blanc
16,1,12:30,4D,True,E07,Vert
49,1,15:30,3B,True,A09,Jaune
49,2,15:30,6B,True,A09,Gris
151,1,14:30,3C,True,A01,Rouge
151,2,12:30,6D,True,A01,Rouge
417,1,15:00,5B,False,B03,Rouge et blanc
338,1,15:30,5B,True,J01,Orange/Noir
338,2,14:00,6C,True,M06,Orange/Noir
599,1,14:00,2A,True,I03,Bleu marine
593,1,15:30,5B,True,B05,Vert et noir
22,1,15:30,4A,True,A03,Rouge et blanc
404,1,15:30,6E,True,A03,Jaune et Bleu
516,1,12:30,5A,False,L05,Rouge et noir
7,1,13:30,5A,True,E08,Vert
7,2,15:00,6C,True,E08,Rouge et blanc rayé
31,1,15:00,2A,False,E02,Blanc
2,1,14:00,2B,True,B08,Rouge
2,2,14:00,6D,True,B08,Rouge
35,1,14:00,2A,True,A03,Jaune et bleu
35,2,12:30,6B,True,A03,Jaune et bleu
343,1,12:30,3A,True,W05,Noir
343,2,12:30,3C,True,W05,Noir rayé de blanc
343,3,14:00,6B,True,W05,Noir rayé de blanc
567,1,13:30,1,True,I02,Bleu
569,1,15:30,4D,True,E04,Rouge et Bleu
100,1,14:00,5C,False,B03,Rouge
100,2,14:00,6C,False,B03,Rouge
597,1,15:00,3B,True,S01,Gris
152,1,14:00,2B,True,F01,Vert
152,2,14:00,4D,True,F01,Vert
152,3,15:30,5A,True,F01,Vert
152,4,15:30,6A,True,F01,Vert
152,5,14:00,6C,True,F01,Vert
623,1,15:30,3B,True,F01,Bleu Ciel
217,1,15:00,3A,True,M08,Jaune fluo
647,1,15:00,3D,True,P02,Blanc
522,1,12:30,4B,True,A11,Bleu
659,1,12:30,5B,False,R03,Orange
645,1,14:00,5A,True,E10,Rose
388,1,13:45,2B,False,D01,Jaune
388,2,15:30,6A,False,D01,Gris
235,1,14:00,3D,True,E07,Vert
345,1,12:30,2B,True,W10,Jaune
345,2,14:00,4B,True,I03,Rouge
345,3,14:00,6B,True,W10,Blanc
90,1,13:30,3B,True,E08,Vert
514,1,15:30,1,True,B14,Noir
514,2,15:30,4C,True,G04,Noir
514,3,15:30,5B,True,G04,Vert
488,1,13:00,4A,True,S04,Bleu
357,1,14:00,3A,True,W05,Rayé bleu jaune
416,1,15:30,2B,True,A11,Rayé Bleu et Blanc
416,2,12:30,3D,True,A11,Rayé Bleu et Blanc
416,3,14:00,6D,True,A11,Rayé Bleu et Blanc
47,1,15:30,6B,True,U04,Orange et Noir
402,1,14:00,1,True,N04,Vert
402,2,12:30,2A,True,N04,Vert
402,3,12:30,3B,False,N04,Vert
402,4,14:00,3D,False,N04,Vert
402,5,15:30,6A,True,N04,Vert
402,6,15:30,6D,False,N04,Vert
92,1,15:30,1,True,N04,Noir
92,2,12:30,4D,False,N04,Noir
92,3,12:30,6A,True,N04,Noir
92,4,14:00,6B,True,N04,Noir
38,1,14:00,6A,True,A03,Bleu foncé
423,1,13:00,1,True,W10,Noir et blanc
423,2,14:30,6A,True,W10,Noir et blanc
347,1,15:30,6D,True,J01,Bleu et blanc
664,1,15:30,5C,True,I03,Noir et jaune
498,1,15:30,5B,True,B08,Orange
498,2,15:30,6E,True,B08,Jaune
